id,Наименование,Цена,Бренд,Скидка,Рейтинг,ID Продавца,Количество отзывов,Оценка товара
181593507,Видеокарта Radeon RX 580 8Gb 8 Гб GDDR5 (RX580) игровая,8845.0,DICASVER,67,5,31,1284604,0,
173005768,Видеокарта для игр АMD Radeon RX580 8GB GDDR5 игровая,6874.0,AMD,53,4,31,1284604,0,
197878324,Игровой микрофон с пантографом для компьютера,2665.0,yanmai,60,5,68,1284604,0,
197620763,Видеокарта Radeon RX 580 8Gb 8 Гб GDDR5 (RX580) игровая,9809.0,DICASVER,62,5,31,1284604,0,
197877840,Игровой микрофон для ПК проводной для стриминга,1680.0,yanmai,72,5,14,1284604,0,
188197555,Видеокарта игровая Radeon RX DUAL 580 8 ГБ,8190.0,Asus,61,5,31,1284604,0,
186107092,"Термопрокладка силиконовая для видеокарты 6 Вт 2,5 мм",437.0,IRIG116,19,5,3,1284604,16,4.9
197875630,"Игровой микрофон для ПК, студийный для записи и подкастов",3978.0,yanmai,62,5,50,1284604,0,
166231562,"Внешний корпус для жесткого диска 2.5"" SATA USB 3.0",938.0,OEM,37,0,6,1284604,0,
192700842,"Комплект материнская плата Intel Xeon E5 2670v3, 16 gb",9509.0,MicroBT,62,4,26,1284604,8,4.3
188740530,Видеокарта игровая Radeon RX 580 8Gb 8 Гб GDDR5 (RX580),9890.0,TFDP,63,5,65,1284604,0,
191976047,"Материнская плата X99, E5 2670 V3 2,3 ГГц, DDR4 REG ECC 16GB",8611.0,MicroBT,62,5,26,1284604,5,4.6
189766848,Видеокарта игровая Radeon RX 580 8 ГБ (RX580-8G-2048SP),9165.0,MicroBT,63,5,14,1284604,0,
180225973,Видеокарта AMD Radeon RX 560 XT 8 ГБ,6111.0,DICASVER,61,4,31,1284604,0,
186704926,Видеокарта игровая Radeon RX 580 8 ГБ,7534.0,XFX,67,3,31,1284604,0,
197274464,"Монитор 21.5"", 1920×1080 Full HD",8065.0,Philips,63,5,396,1284604,0,
183429291,Видеокарта GeForce GTX 1660 SUPER 6 ГБ,22004.0,Colorful,67,5,31,1284604,1,5.0
164442121,Термопрокладка для видеокарты 15 Вт 1 мм,961.0,IRIG116,35,5,3,1284604,16,4.9
164442122,"Термопрокладка для видеокарты 15 Вт 1,5 мм",1001.0,IRIG116,37,5,3,1284604,16,4.9
164442123,Термопрокладка для видеокарты 15 Вт 2 мм,1090.0,IRIG116,35,5,3,1284604,16,4.9
197272974,"Монитор 22"" VA, 1920×1080 Full HD",6739.0,AOC,71,0,314,1284604,0,
197877841,Конденсаторный игровой микрофон RGB для ПК настольный,3027.0,yanmai,52,5,29,1284604,0,
185520059,Видеокарта для пк игровая AMD Radeon RX 580 8 ГБ,8115.0,DICASVER,71,4,31,1284604,29,4.0
200529654,Видеокарта для пк игровая GeForce RTX 3060 Ti 8 ГБ,28641.0,NVIDIA,57,0,60,1284604,0,
203900103,Кабель питания 16 pin для видеокарты и компьютера,1350.0,MicroBT,62,0,14,1284604,0,
203900106,Кабель питания 24 pin для видеокарты и компьютера,1350.0,MicroBT,62,0,14,1284604,0,
204289025,Низкопрофильный кулер для процессора M-36,1125.0,MAIDU,62,0,4,1284604,0,
204289870,Низкопрофильный кулер для процессора M-37,1125.0,MAIDU,62,0,4,1284604,0,
167267389,Видеокарта Gigаbyte Radeon RX 570 8GB игровая,11795.0,Gigabyte,24,5,32,1284604,0,
183424473,Видеокарта GeForce GTX 1060 6 ГБ,20997.0,Gigabyte,67,0,31,1284604,0,
183045458,Видеокарта ROG Radeon RX 580 8 ГБ,17575.0,Asus,32,0,31,1284604,0,
195345456,"Компьютер игровой Intel Xeon, SSD 480, RX 580, Windows",29600.0,AMD,60,0,563,1284604,0,
